sepal_length,sepal_width,petal_length,petal_width,avg_sepal_length,avg_sepal_width,avg_petal_length,avg_petal_width,is_probably_outlier,iris_class
51.0,35.0,14.0,2.0,,,,,,IRIS-SETOSA
49.0,30.0,14.0,2.0,,,,,,IRIS-SETOSA
47.0,32.0,13.0,2.0,,,,,,IRIS-SETOSA
46.0,31.0,15.0,2.0,,,,,,IRIS-SETOSA
50.0,36.0,14.0,2.0,,,,,,IRIS-SETOSA
54.0,39.0,17.0,4.0,,,,,,IRIS-SETOSA
46.0,34.0,14.0,3.0,,,,,,IRIS-SETOSA
50.0,34.0,15.0,2.0,,,,,,IRIS-SETOSA
44.0,29.0,14.0,2.0,,,,,,IRIS-SETOSA
49.0,31.0,15.0,1.0,,,,,,IRIS-SETOSA
54.0,37.0,15.0,2.0,,,,,,IRIS-SETOSA
48.0,34.0,16.0,2.0,,,,,,IRIS-SETOSA
48.0,30.0,14.0,1.0,,,,,,IRIS-SETOSA
43.0,30.0,11.0,1.0,,,,,,IRIS-SETOSA
58.0,40.0,12.0,2.0,,,,,,IRIS-SETOSA
57.0,44.0,15.0,4.0,,,,,,IRIS-SETOSA
54.0,39.0,13.0,4.0,,,,,,IRIS-SETOSA
51.0,35.0,14.0,3.0,,,,,,IRIS-SETOSA
57.0,38.0,17.0,3.0,,,,,,IRIS-SETOSA
51.0,38.0,15.0,3.0,,,,,,IRIS-SETOSA
54.0,34.0,17.0,2.0,,,,,,IRIS-SETOSA
51.0,37.0,15.0,4.0,,,,,,IRIS-SETOSA
46.0,36.0,10.0,2.0,,,,,,IRIS-SETOSA
51.0,33.0,17.0,5.0,,,,,,IRIS-SETOSA
48.0,34.0,19.0,2.0,,,,,,IRIS-SETOSA
50.0,30.0,16.0,2.0,,,,,,IRIS-SETOSA
50.0,34.0,16.0,4.0,,,,,,IRIS-SETOSA
52.0,35.0,15.0,2.0,,,,,,IRIS-SETOSA
52.0,34.0,14.0,2.0,,,,,,IRIS-SETOSA
47.0,32.0,16.0,2.0,,,,,,IRIS-SETOSA
48.0,31.0,16.0,2.0,,,,,,IRIS-SETOSA
54.0,34.0,15.0,4.0,,,,,,IRIS-SETOSA
52.0,41.0,15.0,1.0,,,,,,IRIS-SETOSA
55.0,42.0,14.0,2.0,,,,,,IRIS-SETOSA
49.0,31.0,15.0,1.0,,,,,,IRIS-SETOSA
50.0,32.0,12.0,2.0,,,,,,IRIS-SETOSA
55.0,35.0,13.0,2.0,,,,,,IRIS-SETOSA
49.0,31.0,15.0,1.0,,,,,,IRIS-SETOSA
44.0,30.0,13.0,2.0,,,,,,IRIS-SETOSA
51.0,34.0,15.0,2.0,,,,,,IRIS-SETOSA
50.0,35.0,13.0,3.0,,,,,,IRIS-SETOSA
45.0,23.0,13.0,3.0,,,,,,IRIS-SETOSA
44.0,32.0,13.0,2.0,,,,,,IRIS-SETOSA
50.0,35.0,16.0,6.0,,,,,,IRIS-SETOSA
51.0,38.0,19.0,4.0,,,,,,IRIS-SETOSA
48.0,30.0,14.0,3.0,,,,,,IRIS-SETOSA
51.0,38.0,16.0,2.0,,,,,,IRIS-SETOSA
46.0,32.0,14.0,2.0,,,,,,IRIS-SETOSA
53.0,37.0,15.0,2.0,,,,,,IRIS-SETOSA
50.0,33.0,14.0,2.0,,,,,,IRIS-SETOSA
64.0,32.0,45.0,15.0,,,,,,IRIS-VERSICOLOR
69.0,31.0,49.0,15.0,,,,,,IRIS-VERSICOLOR
55.0,23.0,40.0,13.0,,,,,,IRIS-VERSICOLOR
65.0,28.0,46.0,15.0,,,,,,IRIS-VERSICOLOR
57.0,28.0,45.0,13.0,,,,,,IRIS-VERSICOLOR
63.0,33.0,47.0,16.0,,,,,,IRIS-VERSICOLOR
49.0,24.0,33.0,10.0,,,,,,IRIS-VERSICOLOR
66.0,29.0,46.0,13.0,,,,,,IRIS-VERSICOLOR
52.0,27.0,39.0,14.0,,,,,,IRIS-VERSICOLOR
50.0,20.0,35.0,10.0,,,,,,IRIS-VERSICOLOR
59.0,30.0,42.0,15.0,,,,,,IRIS-VERSICOLOR
60.0,22.0,40.0,10.0,,,,,,IRIS-VERSICOLOR
61.0,29.0,47.0,14.0,,,,,,IRIS-VERSICOLOR
56.0,29.0,36.0,13.0,,,,,,IRIS-VERSICOLOR
67.0,31.0,44.0,14.0,,,,,,IRIS-VERSICOLOR
56.0,30.0,45.0,15.0,,,,,,IRIS-VERSICOLOR
58.0,27.0,41.0,10.0,,,,,,IRIS-VERSICOLOR
62.0,22.0,45.0,15.0,,,,,,IRIS-VERSICOLOR
56.0,25.0,39.0,11.0,,,,,,IRIS-VERSICOLOR
59.0,32.0,48.0,18.0,,,,,,IRIS-VERSICOLOR
61.0,28.0,40.0,13.0,,,,,,IRIS-VERSICOLOR
63.0,25.0,49.0,15.0,,,,,,IRIS-VERSICOLOR
